youth_drop,per_mnrty,hs_drop,col_degree,per_asian,per_white,per_black,shape_leng,shape_area,np_ct,mean_inc,pop1619,dropout,enrollhs,per_prv_sc,per_pub_sc,over3,notenroll,over3enr,pubsch,pub_pk,pub_k8,pub_hs,pub_col,privsch,priv_pk,priv_k8,priv_hs,priv_col,over25,subhs,hs,somecol,college,master,prof,phd,white,black,asian,sub18,gender_par,male,female,school_ct,popdens,population,lat_centroid,lon_centroid,id_centroid
0.2325581,0.94,0.36,0.18,0.01,0.06,0.8,3893.1988266,942328.191212,0.0,27472.0,43.0,10.0,33.0,0.16,0.84,1886.0,1191.0,695.0,586.0,17.0,339.0,129.0,101.0,109.0,15.0,26.0,0.0,68.0,1205.0,430.0,775.0,524.0,216.0,109.0,30.0,10.0,110.0,1554.0,11.0,575.0,0.9055,920.0,1016.0,2,55327.46,1936.0,40.807578556744936,-73.95492174115473,13
0.173913,0.89,0.29,0.14,0.01,0.11,0.73,3965.22358234,608261.971461,0.0,11622.0,23.0,4.0,19.0,0.17,0.83,899.0,698.0,201.0,167.0,8.0,62.0,33.0,64.0,34.0,0.0,13.0,4.0,17.0,707.0,202.0,505.0,252.0,100.0,32.0,6.0,0.0,110.0,731.0,12.0,182.0,0.8839,472.0,534.0,0,45309.59,1006.0,40.80976390451218,-73.95276033128881,14
0.0322581,0.96,0.3,0.06,0.0,0.04,0.88,3338.29081569,446993.855918,2.0,19052.0,155.0,5.0,150.0,0.18,0.82,2562.0,1629.0,933.0,769.0,102.0,441.0,163.0,63.0,164.0,10.0,92.0,23.0,39.0,1556.0,468.0,1088.0,666.0,101.0,25.0,13.0,7.0,100.0,2337.0,4.0,867.0,0.7617,1154.0,1515.0,0,162635.9,2669.0,40.81456839156472,-73.94867517562841,15
0.1184211,0.95,0.34,0.15,0.0,0.05,0.81,5775.54638766,1958240.25376,0.0,22246.0,228.0,27.0,201.0,0.16,0.84,4813.0,3344.0,1469.0,1231.0,53.0,633.0,325.0,220.0,238.0,6.0,56.0,0.0,176.0,3255.0,1092.0,2163.0,1223.0,497.0,167.0,103.0,25.0,258.0,4071.0,20.0,1312.0,0.9648,2464.0,2554.0,3,71929.38,5018.0,40.80322208402591,-73.95252423966609,16
0.1140684,0.94,0.3,0.2,0.01,0.06,0.81,5691.51396349,1882933.02824,0.0,21123.0,263.0,30.0,233.0,0.25,0.75,4836.0,3296.0,1540.0,1155.0,106.0,558.0,248.0,243.0,385.0,30.0,110.0,96.0,149.0,3155.0,952.0,2203.0,1464.0,638.0,144.0,46.0,20.0,309.0,4085.0,36.0,1399.0,0.9081,2412.0,2656.0,3,74078.17,5068.0,40.80578370222262,-73.95065706730914,17
0.254717,0.83,0.52,0.1,0.01,0.17,0.34,5014.76241028,1511482.87286,0.0,21692.0,424.0,108.0,316.0,0.16,0.84,8482.0,6089.0,2393.0,2022.0,65.0,1046.0,574.0,337.0,371.0,18.0,137.0,34.0,182.0,5531.0,2882.0,2649.0,1421.0,557.0,248.0,63.0,10.0,1466.0,2989.0,84.0,2351.0,1.0066,4436.0,4407.0,0,164208.2,8843.0,40.825526542009975,-73.9502883820137,18
0.0,0.93,0.54,0.04,0.0,0.07,0.8,3267.74059714,413467.551316,0.0,16645.0,24.0,0.0,24.0,0.04,0.96,918.0,612.0,306.0,293.0,44.0,173.0,22.0,54.0,13.0,0.0,5.0,0.0,8.0,564.0,307.0,257.0,138.0,22.0,0.0,0.0,0.0,67.0,790.0,3.0,328.0,0.8609,458.0,532.0,0,66269.2,990.0,40.82462450261578,-73.94125797865942,19
0.0353535,0.96,0.32,0.09,0.01,0.04,0.84,5656.09206322,1164817.07469,0.0,20257.0,198.0,7.0,191.0,0.17,0.83,3296.0,2103.0,1193.0,993.0,56.0,517.0,297.0,123.0,200.0,6.0,30.0,48.0,116.0,2078.0,660.0,1418.0,715.0,191.0,32.0,12.0,0.0,154.0,2951.0,19.0,1078.0,0.8747,1647.0,1883.0,0,83826.07,3530.0,40.82373143848145,-73.93867047362887,20
0.1569767,0.88,0.53,0.13,0.01,0.12,0.58,3635.96226933,687269.070828,0.0,17841.0,172.0,27.0,145.0,0.09,0.91,2590.0,1856.0,734.0,665.0,55.0,362.0,160.0,88.0,69.0,4.0,19.0,16.0,30.0,1615.0,855.0,760.0,475.0,202.0,71.0,39.0,9.0,317.0,1568.0,18.0,728.0,0.8347,1222.0,1464.0,1,109015.4,2686.0,40.83233764360401,-73.94106406946405,21
0.1598063,0.82,0.39,0.24,0.01,0.18,0.39,5854.27624706,1621575.26369,2.0,26491.0,413.0,66.0,347.0,0.2,0.8,7962.0,5712.0,2250.0,1804.0,54.0,868.0,441.0,441.0,446.0,27.0,124.0,100.0,195.0,5501.0,2140.0,3361.0,2347.0,1328.0,574.0,145.0,73.0,1482.0,3208.0,81.0,1875.0,0.8413,3790.0,4505.0,0,145148.1,8295.0,40.83392466567289,-73.94549197338387,22
0.2040816,0.88,0.47,0.06,0.01,0.12,0.26,3927.82157572,652856.322251,0.0,20197.0,49.0,10.0,39.0,0.13,0.87,1127.0,771.0,356.0,308.0,15.0,205.0,68.0,20.0,48.0,0.0,7.0,0.0,41.0,757.0,354.0,403.0,210.0,46.0,21.0,17.0,0.0,139.0,296.0,6.0,347.0,0.8669,534.0,616.0,3,48705.48,1150.0,40.83912893158707,-73.93644959486095,23
0.0776699,0.77,0.51,0.09,0.03,0.23,0.09,5651.31784635,1822960.4391,0.0,26899.0,824.0,64.0,760.0,0.19,0.81,12270.0,8203.0,4067.0,3312.0,86.0,1589.0,967.0,670.0,755.0,100.0,193.0,138.0,324.0,7780.0,3931.0,3849.0,2090.0,710.0,284.0,136.0,40.0,2878.0,1131.0,344.0,3404.0,0.9157,6096.0,6657.0,0,191273.8,12753.0,40.84289495173798,-73.93837896488165,24
0.1646804,0.83,0.62,0.06,0.01,0.17,0.12,5532.10043059,1681539.24296,1.0,25712.0,923.0,152.0,771.0,0.15,0.85,12523.0,8321.0,4202.0,3580.0,120.0,1870.0,1074.0,516.0,622.0,42.0,212.0,131.0,237.0,7690.0,4770.0,2920.0,1708.0,478.0,260.0,187.0,68.0,2238.0,1564.0,67.0,3864.0,0.8981,6189.0,6891.0,1,210632.3,13080.0,40.845784510664046,-73.93445497785885,25
0.1055341,0.78,0.49,0.09,0.01,0.22,0.09,5730.54169915,1691892.03356,0.0,30297.0,777.0,82.0,695.0,0.14,0.86,9366.0,6049.0,3317.0,2843.0,107.0,1425.0,889.0,422.0,474.0,41.0,62.0,152.0,219.0,5721.0,2802.0,2919.0,1639.0,528.0,193.0,72.0,0.0,2168.0,923.0,128.0,2800.0,0.9062,4664.0,5147.0,2,160506.2,9811.0,40.84682256205354,-73.9374754178083,26
0.0397351,0.55,0.52,0.18,0.02,0.45,0.04,3869.44733794,518771.631298,0.0,19947.0,151.0,6.0,145.0,0.47,0.53,1842.0,1053.0,789.0,421.0,9.0,191.0,96.0,125.0,368.0,0.0,26.0,28.0,314.0,1035.0,538.0,497.0,363.0,182.0,97.0,46.0,12.0,857.0,83.0,34.0,461.0,1.1827,1042.0,881.0,0,107582.8,1923.0,40.85033694251113,-73.92863317760504,27
0.0721533,0.73,0.58,0.07,0.01,0.27,0.07,6017.03677118,1889655.58786,2.0,22279.0,887.0,64.0,823.0,0.31,0.69,9517.0,5727.0,3790.0,2624.0,65.0,1337.0,732.0,490.0,1166.0,41.0,134.0,36.0,955.0,5355.0,3116.0,2239.0,1265.0,371.0,194.0,116.0,0.0,2701.0,717.0,95.0,2626.0,1.1394,5289.0,4642.0,4,142014.1,9931.0,40.85055674179854,-73.9309747382922,28
0.1564626,0.76,0.6,0.07,0.01,0.24,0.12,5903.15253515,1760155.92441,1.0,25087.0,441.0,69.0,372.0,0.11,0.89,7755.0,5632.0,2123.0,1890.0,98.0,1041.0,579.0,172.0,233.0,19.0,44.0,29.0,141.0,5162.0,3096.0,2066.0,1079.0,378.0,101.0,70.0,0.0,1931.0,983.0,91.0,2108.0,0.8601,3751.0,4361.0,5,129928.6,8112.0,40.85544415348654,-73.92738846733087,29
0.0,0.05,0.06,0.84,0.02,0.95,0.0,5687.80233404,1860992.66528,2.0,174119.0,5.0,0.0,5.0,0.82,0.18,255.0,206.0,49.0,9.0,0.0,0.0,0.0,9.0,40.0,14.0,12.0,5.0,9.0,224.0,13.0,211.0,197.0,188.0,94.0,30.0,16.0,255.0,0.0,6.0,28.0,1.3805,156.0,113.0,0,4039.512,269.0,40.759423769091704,-73.97444936943391,30
0.0,0.14,0.05,0.69,0.09,0.86,0.02,5693.03611763,1864600.35089,1.0,67500.0,24.0,0.0,24.0,0.4,0.6,1054.0,919.0,135.0,81.0,0.0,12.0,4.0,65.0,54.0,0.0,0.0,16.0,38.0,951.0,47.0,904.0,827.0,655.0,304.0,144.0,49.0,945.0,27.0,95.0,48.0,1.0203,554.0,543.0,0,16647.82,1097.0,40.76077898594408,-73.97767288530771,31
0.0,0.06,0.03,0.68,0.04,0.94,0.01,4538.70802822,1280936.48109,1.0,102149.0,106.0,0.0,106.0,0.82,0.18,7825.0,6997.0,828.0,152.0,9.0,74.0,11.0,58.0,676.0,118.0,202.0,69.0,287.0,7136.0,243.0,6893.0,6211.0,4888.0,2409.0,1243.0,251.0,7520.0,44.0,290.0,589.0,0.8109,3568.0,4400.0,0,157250.0,7968.0,40.7574140161431,-73.96159994740664,32
0.0,0.15,0.04,0.67,0.07,0.85,0.04,3716.14678472,856164.331964,1.0,78354.0,9.0,0.0,9.0,0.68,0.32,1063.0,944.0,119.0,38.0,0.0,13.0,0.0,25.0,81.0,6.0,23.0,6.0,46.0,940.0,41.0,899.0,772.0,633.0,324.0,150.0,56.0,890.0,46.0,78.0,68.0,0.8689,484.0,557.0,0,36831.52,1041.0,40.763977901109094,-73.97534573298442,33
0.0,0.07,0.0,0.55,0.05,0.93,0.01,3688.76240032,839525.780795,1.0,188697.0,0.0,0.0,0.0,0.38,0.62,365.0,336.0,29.0,18.0,0.0,0.0,0.0,18.0,11.0,0.0,11.0,0.0,0.0,354.0,0.0,354.0,316.0,195.0,123.0,13.0,13.0,352.0,3.0,18.0,21.0,0.8447,174.0,206.0,0,12707.0,380.0,40.76260394835695,-73.97213117784611,34
0.0,0.1,0.02,0.6,0.06,0.9,0.01,3701.17328072,854082.504922,0.0,77329.0,8.0,0.0,8.0,0.74,0.26,1199.0,1079.0,120.0,31.0,0.0,9.0,0.0,22.0,89.0,9.0,8.0,8.0,64.0,1067.0,18.0,1049.0,901.0,637.0,256.0,55.0,0.0,1124.0,16.0,81.0,79.0,0.7431,535.0,720.0,0,43224.45,1255.0,40.76123046822496,-73.96888652155818,35
0.0,0.34,0.3,0.2,0.12,0.66,0.11,5699.86071112,1890907.32906,120.0,47813.0,43.0,0.0,43.0,0.67,0.33,288.0,165.0,123.0,41.0,0.0,0.0,0.0,41.0,82.0,0.0,0.0,5.0,77.0,169.0,50.0,119.0,106.0,34.0,0.0,0.0,0.0,214.0,36.0,39.0,5.0,1.1325,171.0,151.0,0,4815.55,322.0,40.75477510309625,-73.98786993567575,36
0.0,0.1,0.02,0.73,0.07,0.9,0.0,4125.25627866,1063547.44169,18.0,85908.0,26.0,0.0,26.0,0.82,0.18,2240.0,1958.0,282.0,51.0,10.0,11.0,3.0,27.0,231.0,48.0,40.0,42.0,101.0,2030.0,36.0,1994.0,1827.0,1474.0,703.0,290.0,113.0,2133.0,10.0,169.0,224.0,0.8194,1066.0,1301.0,0,64724.41,2367.0,40.76348257733468,-73.96727887634135,37
0.0,0.06,0.03,0.78,0.03,0.94,0.01,5807.97295423,1918144.62905,0.0,171146.0,71.0,0.0,71.0,0.86,0.14,4517.0,3816.0,701.0,97.0,0.0,50.0,23.0,24.0,604.0,68.0,286.0,77.0,173.0,3957.0,109.0,3848.0,3665.0,3072.0,1671.0,700.0,94.0,4341.0,51.0,139.0,674.0,0.8097,2068.0,2554.0,0,65277.2,4622.0,40.77273604491219,-73.96473353308897,38
0.0223464,0.07,0.02,0.84,0.03,0.93,0.01,5820.81564004,1925984.36815,6.0,97430.0,179.0,4.0,175.0,0.74,0.26,7461.0,6095.0,1366.0,350.0,31.0,199.0,48.0,72.0,1016.0,108.0,321.0,178.0,409.0,6113.0,98.0,6015.0,5728.0,5152.0,2731.0,1309.0,154.0,7238.0,65.0,270.0,1235.0,0.8418,3544.0,4210.0,0,114291.1,7754.0,40.77591397026867,-73.95820819061395,39
0.1192661,0.05,0.03,0.8,0.03,0.95,0.01,5821.7049427,1927688.28569,1.0,145979.0,109.0,13.0,96.0,0.86,0.14,4815.0,3916.0,899.0,129.0,0.0,75.0,8.0,46.0,770.0,103.0,345.0,140.0,182.0,4015.0,101.0,3914.0,3714.0,3221.0,1781.0,931.0,289.0,4721.0,27.0,136.0,836.0,0.8472,2284.0,2696.0,1,71773.96,4980.0,40.7772710873628,-73.96142518717527,40
0.0,0.14,0.05,0.74,0.08,0.86,0.02,4016.13314381,799879.850145,0.0,60589.0,38.0,0.0,38.0,0.73,0.27,3860.0,3412.0,448.0,123.0,0.0,25.0,0.0,98.0,325.0,6.0,45.0,18.0,256.0,3337.0,164.0,3173.0,2883.0,2476.0,1040.0,352.0,118.0,3299.0,60.0,317.0,221.0,0.9125,1835.0,2011.0,0,135247.2,3846.0,40.77719172689492,-73.95216094997421,41
0.0,0.13,0.05,0.75,0.07,0.87,0.02,4528.69533991,1175338.57796,0.0,70370.0,103.0,0.0,103.0,0.67,0.33,7897.0,6713.0,1184.0,395.0,0.0,125.0,69.0,201.0,789.0,57.0,196.0,95.0,441.0,6807.0,362.0,6445.0,5975.0,5126.0,2345.0,863.0,133.0,7199.0,188.0,576.0,749.0,0.8227,3727.0,4530.0,0,199659.5,8257.0,40.778814735426444,-73.95097538849525,42
0.0,0.1,0.02,0.8,0.05,0.9,0.01,3135.9514948,559216.082517,0.0,90391.0,40.0,0.0,40.0,0.82,0.18,2828.0,2354.0,474.0,86.0,0.0,47.0,7.0,32.0,388.0,76.0,160.0,70.0,82.0,2329.0,52.0,2277.0,2163.0,1867.0,928.0,423.0,67.0,2622.0,30.0,156.0,429.0,0.8609,1343.0,1560.0,0,145907.0,2903.0,40.7788410003661,-73.95607288384925,43
0.1372549,0.09,0.02,0.81,0.06,0.91,0.01,4691.02933692,1351365.00658,0.0,89713.0,102.0,14.0,88.0,0.83,0.17,6632.0,5454.0,1178.0,197.0,0.0,80.0,49.0,68.0,981.0,149.0,466.0,43.0,323.0,5452.0,100.0,5352.0,4995.0,4410.0,2375.0,1023.0,250.0,6293.0,74.0,385.0,1054.0,0.8555,3203.0,3744.0,1,142544.2,6947.0,40.78109303168507,-73.95443077850788,44
0.0,0.12,0.02,0.8,0.07,0.88,0.02,5674.29234472,1872392.71238,0.0,94583.0,41.0,0.0,41.0,0.72,0.28,8736.0,7607.0,1129.0,317.0,8.0,90.0,16.0,203.0,812.0,96.0,185.0,76.0,455.0,7840.0,195.0,7645.0,7156.0,6255.0,3233.0,1245.0,244.0,7981.0,185.0,592.0,776.0,0.9271,4349.0,4691.0,1,136079.1,9040.0,40.77485774611897,-73.98066421438904,45
0.0410557,0.2,0.08,0.7,0.08,0.8,0.07,5536.95775386,1909222.33074,0.0,58761.0,341.0,14.0,327.0,0.54,0.46,12826.0,10732.0,2094.0,973.0,82.0,311.0,126.0,454.0,1121.0,125.0,233.0,137.0,626.0,10366.0,870.0,9496.0,8484.0,7210.0,3185.0,1267.0,191.0,10434.0,889.0,995.0,1391.0,0.8194,5881.0,7177.0,2,191648.8,13058.0,40.78134921998065,-73.94912421540236,46
0.0,0.3,0.07,0.69,0.11,0.7,0.09,4004.8244708,791912.423107,0.0,53153.0,95.0,0.0,95.0,0.63,0.37,5194.0,4264.0,930.0,342.0,0.0,88.0,36.0,218.0,588.0,16.0,70.0,56.0,446.0,3977.0,288.0,3689.0,3195.0,2741.0,1294.0,638.0,131.0,3848.0,496.0,594.0,455.0,0.8459,2514.0,2972.0,1,189116.1,5486.0,40.78356859765432,-73.94750231013725,47
0.0294118,0.68,0.4,0.1,0.05,0.32,0.33,4524.70668372,1169934.51743,0.0,15069.0,68.0,2.0,66.0,0.22,0.78,1754.0,1153.0,601.0,469.0,22.0,290.0,95.0,62.0,132.0,2.0,12.0,29.0,89.0,1101.0,438.0,663.0,315.0,105.0,55.0,19.0,19.0,513.0,527.0,79.0,363.0,0.841,730.0,868.0,1,38289.61,1598.0,40.78518161910629,-73.94632439323672,48
0.04,0.05,0.03,0.82,0.03,0.95,0.01,4698.50684724,1351864.69545,0.0,152728.0,125.0,5.0,120.0,0.88,0.12,3966.0,3102.0,864.0,103.0,0.0,44.0,47.0,12.0,761.0,112.0,442.0,118.0,89.0,3015.0,83.0,2932.0,2748.0,2476.0,1545.0,734.0,124.0,3943.0,38.0,128.0,974.0,0.8592,1928.0,2244.0,0,85571.3,4172.0,40.78563492784495,-73.95532231026166,49
0.0,0.1,0.04,0.81,0.05,0.9,0.02,5000.03334962,1472849.19786,12.0,93335.0,105.0,0.0,105.0,0.67,0.33,6674.0,5571.0,1103.0,366.0,0.0,221.0,83.0,62.0,737.0,109.0,231.0,111.0,286.0,5601.0,197.0,5404.0,5060.0,4538.0,2500.0,1088.0,292.0,6209.0,158.0,340.0,1009.0,0.8892,3265.0,3672.0,0,129955.6,6937.0,40.784659516082804,-73.9799953915885,50
0.237013,0.7,0.55,0.08,0.04,0.3,0.23,4718.49979907,1372488.69471,0.0,19443.0,308.0,73.0,235.0,0.1,0.9,4158.0,2876.0,1282.0,1159.0,53.0,647.0,369.0,90.0,123.0,34.0,17.0,13.0,59.0,2488.0,1365.0,1123.0,659.0,206.0,94.0,9.0,5.0,1307.0,992.0,170.0,1287.0,1.0246,2209.0,2156.0,2,88322.64,4365.0,40.793187782151676,-73.94559752265143,51
0.0,0.24,0.11,0.68,0.06,0.76,0.09,5130.11849508,1487945.23431,0.0,59637.0,196.0,0.0,196.0,0.61,0.39,9207.0,7319.0,1888.0,729.0,52.0,256.0,163.0,258.0,1159.0,168.0,302.0,141.0,548.0,7539.0,809.0,6730.0,6121.0,5095.0,2734.0,1012.0,462.0,7181.0,825.0,563.0,1342.0,0.9868,4717.0,4780.0,0,180238.3,9497.0,40.79246256111071,-73.97447093684751,52
0.1114058,0.8,0.45,0.05,0.02,0.2,0.48,5771.87434646,1903568.41537,0.0,14103.0,377.0,42.0,335.0,0.1,0.9,5738.0,3994.0,1744.0,1561.0,76.0,871.0,482.0,132.0,183.0,25.0,115.0,30.0,13.0,3690.0,1663.0,2027.0,896.0,196.0,35.0,0.0,0.0,1199.0,2879.0,96.0,1751.0,0.8994,2844.0,3162.0,0,88269.99,6006.0,40.79968518167847,-73.94506538116748,53
0.0901639,0.72,0.53,0.11,0.0,0.28,0.42,4113.17387695,877836.667377,0.0,12898.0,244.0,22.0,222.0,0.13,0.87,2865.0,1757.0,1108.0,959.0,64.0,546.0,279.0,70.0,149.0,0.0,108.0,12.0,29.0,1533.0,806.0,727.0,409.0,161.0,38.0,10.0,10.0,852.0,1270.0,7.0,1212.0,0.7501,1300.0,1733.0,0,89754.84,3033.0,40.805077008825045,-73.91635819122331,54
0.1107784,0.75,0.6,0.03,0.0,0.25,0.29,6090.61418051,1674949.6435,0.0,12654.0,334.0,37.0,297.0,0.05,0.95,4415.0,2626.0,1789.0,1708.0,169.0,1045.0,418.0,76.0,81.0,0.0,32.0,5.0,44.0,2249.0,1345.0,904.0,396.0,77.0,18.0,0.0,0.0,1202.0,1387.0,2.0,1922.0,0.858,2187.0,2549.0,0,78014.27,4736.0,40.80644817723584,-73.91377378660208,55
0.3280632,0.8,0.67,0.03,0.0,0.2,0.28,5957.06730618,1639977.91125,0.0,11322.0,253.0,83.0,170.0,0.1,0.9,2898.0,1700.0,1198.0,1074.0,35.0,700.0,246.0,93.0,124.0,6.0,24.0,52.0,42.0,1490.0,996.0,494.0,217.0,50.0,13.0,5.0,0.0,620.0,867.0,7.0,1234.0,0.7887,1374.0,1742.0,2,53832.11,3116.0,40.80823918865502,-73.91193933906514,56
0.0819672,0.79,0.51,0.08,0.0,0.21,0.29,5804.92328112,1525330.72083,0.0,18736.0,305.0,25.0,280.0,0.12,0.88,3314.0,2017.0,1297.0,1143.0,62.0,689.0,312.0,80.0,154.0,8.0,42.0,24.0,80.0,1805.0,916.0,889.0,434.0,150.0,62.0,40.0,0.0,746.0,1012.0,6.0,1225.0,0.8662,1612.0,1861.0,2,63433.27,3473.0,40.810965978931755,-73.90867294639781,57
0.0,0.82,0.45,0.09,0.0,0.18,0.36,5545.81391501,1787327.26392,0.0,23750.0,0.0,0.0,0.0,0.15,0.85,475.0,268.0,207.0,175.0,27.0,99.0,38.0,11.0,32.0,0.0,20.0,0.0,12.0,252.0,114.0,138.0,60.0,22.0,0.0,0.0,0.0,88.0,170.0,0.0,210.0,0.8745,223.0,255.0,0,7147.847,478.0,40.81145679400829,-73.91217410519553,58
0.097561,0.64,0.29,0.08,0.01,0.36,0.35,3473.80585409,682166.213878,0.0,47647.0,82.0,8.0,74.0,0.2,0.8,1261.0,836.0,425.0,338.0,16.0,151.0,125.0,46.0,87.0,0.0,24.0,36.0,27.0,697.0,205.0,492.0,226.0,56.0,43.0,11.0,11.0,452.0,447.0,11.0,375.0,0.9673,621.0,642.0,0,49562.95,1263.0,40.82029440736127,-73.86334353708246,59
